survey_date,target_year,expected_brl_per_usd_mean,expected_brl_per_usd_median,expected_brl_per_usd_std,expected_brl_per_usd_min,expected_brl_per_usd_max,respondents,calculation_basis,spot_brl_per_usd,expected_log_change_brl_per_usd,horizon_years_approx
2000-01-03,2000,1.96,1.95,0.1,,,,0,1.805,0.07726878079,0
2000-01-04,2000,1.95,1.95,0.1,,,,0,1.8405,0.05779209874,0
2000-01-05,2000,1.95,1.94,0.1,,,,0,1.856,0.04426433871,0
2000-01-06,2000,1.96,1.95,0.1,,,,0,1.84,0.05806380095,0
2000-01-07,2000,1.96,1.95,0.1,,,,0,1.831,0.06296710688,0
2000-01-10,2000,1.96,1.95,0.1,,,,0,1.819,0.06954247304,0
2000-01-11,2000,1.96,1.95,0.1,,,,0,1.8225,0.06762018767,0
2000-01-12,2000,1.96,1.95,0.1,,,,0,1.835,0.06078489107,0
2000-01-13,2000,1.95,1.94,0.1,,,,0,1.814,0.06715362138,0
2000-01-13,2001,1.97,1.97,0.04,,,,0,1.814,0.08249919106,1
2000-01-14,2000,1.96,1.94,0.09,,,,0,1.805,0.07212738129,0
2000-01-14,2001,1.97,1.97,0.04,,,,0,1.805,0.08747295097,1
2000-01-17,2000,1.96,1.94,0.09,,,,0,1.805,0.07212738129,0
2000-01-17,2001,1.97,1.97,0.04,,,,0,1.805,0.08747295097,1
2000-01-18,2000,1.96,1.94,0.09,,,,0,1.7942,0.07812873293,0
2000-01-18,2001,1.97,1.97,0.04,,,,0,1.7942,0.09347430261,1
2000-01-19,2000,1.96,1.94,0.09,,,,0,1.793,0.07879777845,0
2000-01-19,2001,1.97,1.97,0.04,,,,0,1.793,0.09414334813,1
2000-01-20,2000,1.96,1.95,0.09,,,,0,1.7785,0.09205906017,0
2000-01-20,2001,1.97,1.97,0.04,,,,0,1.7785,0.1022632303,1
2000-01-21,2000,1.96,1.94,0.09,,,,0,1.78,0.08607460877,0
2000-01-21,2001,1.97,1.97,0.04,,,,0,1.78,0.1014201784,1
2000-01-24,2000,1.96,1.94,0.09,,,,0,1.768,0.09283900886,0
2000-01-24,2001,1.97,1.97,0.04,,,,0,1.768,0.1081845785,1
2000-01-25,2000,1.96,1.94,0.09,,,,0,1.78,0.08607460877,0
2000-01-25,2001,1.97,1.97,0.04,,,,0,1.78,0.1014201784,1
2000-01-26,2000,1.96,1.94,0.09,,,,0,1.781,0.08551296877,0
2000-01-26,2001,1.97,1.97,0.04,,,,0,1.781,0.1008585384,1
2000-01-27,2000,1.96,1.94,0.09,,,,0,1.78,0.08607460877,0
2000-01-27,2001,1.97,1.97,0.04,,,,0,1.78,0.1014201784,1
2000-01-28,2000,1.96,1.94,0.09,,,,0,1.79,0.08047235322,0
2000-01-28,2001,1.97,1.97,0.04,,,,0,1.79,0.0958179229,1
2000-01-31,2000,1.96,1.94,0.09,,,,0,1.802,0.07379081389,0
2000-01-31,2001,2.03,2,0.11,,,,0,1.802,0.1042500214,1
2000-02-01,2000,1.96,1.94,0.09,,,,0,1.795,0.07768295113,0
2000-02-01,2001,2.03,2,0.11,,,,0,1.795,0.1081421586,1
2000-02-02,2000,1.96,1.94,0.09,,,,0,1.785,0.08326955784,0
2000-02-02,2001,2.03,2,0.11,,,,0,1.785,0.1137287653,1
2000-02-03,2000,1.96,1.94,0.1,,,,0,1.775,0.08888755015,0
2000-02-03,2001,2.03,2,0.11,,,,0,1.775,0.1193467576,1
2000-02-04,2000,1.96,1.94,0.1,,,,0,1.773,0.09001494598,0
2000-02-04,2001,2.03,2,0.11,,,,0,1.773,0.1204741535,1
2000-02-07,2000,1.96,1.94,0.1,,,,0,1.77,0.09170842649,0
2000-02-07,2001,2.03,2,0.11,,,,0,1.77,0.122167634,1
2000-02-08,2000,1.96,1.94,0.1,,,,0,1.765,0.09453728269,0
2000-02-08,2001,2.03,2,0.11,,,,0,1.765,0.1249964902,1
2000-02-09,2000,1.96,1.94,0.1,,,,0,1.77,0.09170842649,0
2000-02-09,2001,2.03,2,0.11,,,,0,1.77,0.122167634,1
2000-02-10,2000,1.96,1.94,0.1,,,,0,1.77,0.09170842649,0
2000-02-10,2001,2.03,2,0.11,,,,0,1.77,0.122167634,1
2000-02-11,2000,1.95,1.93,0.1,,,,0,1.767,0.08823680958,0
2000-02-11,2001,2,1.97,0.09,,,,0,1.767,0.1087503494,1
2000-02-14,2000,1.95,1.93,0.1,,,,0,1.769,0.08710558774,0
2000-02-14,2001,2.01,2,0.09,,,,0,1.769,0.1227327654,1
2000-02-15,2000,1.95,1.93,0.1,,,,0,1.783,0.07922266404,0
2000-02-15,2001,2.01,2,0.09,,,,0,1.783,0.1148498417,1
2000-02-16,2000,1.94,1.93,0.11,,,,0,1.775,0.08371957999,0
2000-02-16,2001,1.98,1.97,0.11,,,,0,1.775,0.1042331198,1
2000-02-17,2000,1.94,1.93,0.11,,,,0,1.777,0.08259345374,0
