date,currency,open_interest,open_interest_ma12,dealer_net,dealer_net_scaled,asset_manager_net,asset_manager_net_scaled,leveraged_funds_net,leveraged_funds_net_scaled,other_reportable_net,other_reportable_net_scaled,nonreportable_net,nonreportable_net_scaled
2010-06-30,EUR,225752,227170.3333,98470,43.34632897,-7468,-3.287401084,-86393,-38.03005381,5207,2.292112673,-9816,-4.320986749
2010-07-31,EUR,232193,227887.8571,39944,17.52791943,-2229,-0.9781126682,-33866,-14.86081813,4071,1.786404967,-7920,-3.475393599
2010-08-31,EUR,241133,229543.5,42142,18.35904741,-5404,-2.354237868,-32160,-14.01041633,1283,0.5589354523,-5861,-2.553328672
2010-09-30,EUR,190039,225154.1111,-32842,-14.58645362,-4044,-1.796103114,12379,5.498011979,17397,7.726707682,7110,3.157837077
2010-10-31,EUR,209103,223549,-48887,-21.86858362,3557,1.591150039,18390,8.226384372,16229,7.259705926,10711,4.791343285
2010-11-30,EUR,203930,221765.4545,9013,4.064203786,4427,1.996253208,-18545,-8.362438612,-145,-0.06538439465,5250,2.367366013
2010-12-31,EUR,162312,216811,39501,18.21909405,802,0.3699074309,-45836,-21.14099377,6581,3.035362597,-1048,-0.4833703087
2011-01-31,EUR,199706,218038.3333,-23223,-10.65087943,2063,0.9461639008,5744,2.63439915,10229,4.691376899,5187,2.378939483
2011-02-28,EUR,207869,217987.9167,-48088,-22.05993834,10442,4.790173767,16968,7.783917687,12442,5.707655814,8236,3.778191069
2011-03-31,EUR,218177,217539.8333,-70486,-32.40142227,8427,3.873773309,37829,17.38945894,8545,3.928016248,15685,7.210173769
2011-04-30,EUR,249000,218431.6667,-80449,-36.83028254,10870,4.976384682,41099,18.81549531,7426,3.399690216,21054,9.638712336
2011-05-31,EUR,270101,217442.9167,-11677,-5.370145038,9652,4.438866139,-4963,-2.282438111,669,0.3076669547,6319,2.906050055
2011-06-30,EUR,183206,213897.4167,-32191,-15.04973763,3728,1.74289155,11760,5.497962614,6344,2.965907723,10359,4.842975741
2011-07-31,EUR,183690,209855.5,-21774,-10.37571091,2456,1.170329107,-5121,-2.440250553,15733,7.497063456,8706,4.148568896
2011-08-31,EUR,179162,204691.25,-9258,-4.522909504,2159,1.054759302,3341,1.632214372,220,0.107478947,3538,1.728456883
2011-09-30,EUR,215172,206785.6667,85186,41.19531173,-8180,-3.955786749,-46459,-22.46722452,-5340,-2.582384014,-25207,-12.18991645
2011-10-31,EUR,235774,209008.25,67662,32.3728848,3655,1.748734799,-40466,-19.36095824,-2721,-1.301862486,-28130,-13.45879888
2011-11-30,EUR,277511,215140,46044,21.40187785,32304,15.01533885,-38768,-18.01989402,-6040,-2.807474203,-33540,-15.58984847
2011-12-31,EUR,276022,224615.8333,95446,42.4929973,17120,7.621902582,-86010,-38.29204679,2192,0.9758884614,-28748,-12.79874156
2012-01-31,EUR,305328,233417.6667,94349,40.42067653,26344,11.28620656,-91352,-39.13671202,-2962,-1.268969929,-26379,-11.30120114
2012-02-29,EUR,271282,238702.0833,63753,26.70818751,33069,13.85367046,-69212,-28.99513864,-5828,-2.441537132,-21782,-9.125182192
2012-03-31,EUR,239446,240474.5,102875,42.7800037,9798,4.074444484,-81481,-33.88342631,-7770,-3.231111823,-23422,-9.739910053
2012-04-30,EUR,287215,243659.0833,149529,61.36812055,-19487,-7.997649722,-84109,-34.51913175,-10022,-4.113123904,-35911,-14.73821518
2012-05-31,EUR,394160,253997.3333,168634,66.39203561,-14832,-5.839431385,-152326,-59.97149576,42007,16.53836261,-43483,-17.11947107
2012-06-30,EUR,315785,265045.5833,99211,37.43167449,11925,4.499226077,-124670,-47.03719203,51074,19.26989288,-37540,-14.16360142
2012-07-31,EUR,311436,275691.0833,82701,29.99770577,-6520,-2.36496586,-92960,-33.71889975,50497,18.3165155,-33718,-12.23035565
2012-08-31,EUR,311925,286754.6667,43672,15.22974343,-8294,-2.892367924,-57489,-20.04814801,48183,16.80286517,-26072,-9.09209266
2012-09-30,EUR,218363,287020.5833,39875,13.89273185,9938,3.462469445,-53483,-18.63385524,13156,4.583643391,-9486,-3.304989451
2012-10-31,EUR,221524,285833.0833,40360,14.12012897,16981,5.940879832,-59818,-20.92759848,19419,6.793825184,-16942,-5.927235505
2012-11-30,EUR,210234,280226.6667,57912,20.66612742,3815,1.361397916,-61367,-21.89905791,12479,4.453180758,-12839,-4.58164819
2012-12-31,EUR,207608,274525.5,-23893,-8.703380925,4696,1.710587905,8875,3.232850864,4858,1.769598817,5464,1.990343338
2013-01-31,EUR,237856,268902.8333,-51616,-19.19503761,19166,7.127481612,17395,6.468879403,7084,2.634408835,7971,2.964267762
2013-02-28,EUR,230567,265509.9167,-16841,-6.342889264,10572,3.981772181,-2140,-0.8059962607,7046,2.65376152,1363,0.513351824
2013-03-31,EUR,204257,262577.5,55028,20.95686036,-9707,-3.696813322,-43807,-16.68345536,11874,4.522093477,-13388,-5.09868515
2013-04-30,EUR,222618,257194.4167,35802,13.92020887,-18054,-7.019592507,-25943,-10.08692192,14217,5.527724973,-6022,-2.341419413
2013-05-31,EUR,264212,246365.4167,80937,32.85241942,-15815,-6.419326306,-69201,-28.08876381,30013,12.18231049,-25934,-10.5266398
2013-06-30,EUR,211651,237687.5833,-4496,-1.891558632,-24272,-10.211724,25046,10.53736154,4929,2.073730538,-1207,-0.5078094459
2013-07-31,EUR,222957,230314.3333,29173,12.66660202,-20686,-8.981638138,-5557,-2.412789478,12021,5.219388575,-14951,-6.49156298
2013-08-31,EUR,248672,225043.25,-22030,-9.789229404,-30062,-13.35832112,42536,18.90125565,13769,6.118379467,-4213,-1.872084588
2013-09-30,EUR,254464,228051.6667,-60694,-26.61414446,-21286,-9.333849786,78619,34.47420541,3049,1.336977732,312,0.1368111027
2013-10-31,EUR,282923,233168.25,-74054,-31.7598987,-9359,-4.013839792,78554,33.68983556,6598,2.82971631,-1739,-0.7458133773
2013-11-30,EUR,243049,235902.8333,23173,9.823112199,-16181,-6.859180016,13583,5.757879127,-8,-0.003391226755,-20567,-8.718420084
2013-12-31,EUR,242071,238774.75,-2862,-1.198619201,-27761,-11.62643873,54356,22.76455111,-13573,-5.684436901,-10160,-4.255056282
2014-01-31,EUR,260799,240686.6667,31843,13.23006398,-29294,-12.17101072,36957,15.35481816,-16683,-6.931418442,-22823,-9.482452982
2014-02-28,EUR,296924,246216.4167,32794,13.31917686,-38647,-15.69635385,38089,15.46972396,-18048,-7.330136733,-14188,-5.762410237
2014-03-31,EUR,262179,251043.25,15918,6.340740092,-50186,-19.99097765,60003,23.90145921,-9134,-3.638416886,-16601,-6.612804766
2014-04-30,EUR,271515,255118,21549,8.446679576,-40219,-15.76486175,39733,15.57436167,-776,-0.3041729709,-20287,-7.952006522
2014-05-31,EUR,274051,255937.9167,65533,25.60503768,-19696,-7.695616287,-14085,-5.503287744,-6984,-2.728786766,-24768,-9.677346883
2014-06-30,EUR,291244,262570.6667,106950,40.73189186,-22938,-8.735933945,-49590,-18.88634425,-1260,-0.4798708157,-33162,-12.62974285
2014-07-31,EUR,356865,273729.6667,157701,57.61195048,-22350,-8.164990033,-82199,-30.02926245,-5644,-2.061888311,-47508,-17.35580969
2014-08-31,EUR,402709,286566.0833,198662,69.32502189,-20987,-7.323616164,-126160,-44.02474938,-6074,-2.119580911,-45441,-15.85707543
2014-09-30,EUR,409986,299526.25,172345,57.53919732,-39474,-13.17881154,-99007,-33.05453195,15832,5.285680303,-49696,-16.59153413
2014-10-31,EUR,441369,312730.0833,207492,66.34858974,-45323,-14.49268952,-131214,-41.95758803,15723,5.027658303,-46678,-14.92597051
2014-11-30,EUR,465339,331254.25,209273,63.17594416,-44027,-13.29099929,-128229,-38.71014485,19938,6.018941644,-56955,-17.19374167
2014-12-31,EUR,386295,343272.9167,186336,54.28217344,-46418,-13.52218534,-131455,-38.29460281,41042,11.95608451,-49505,-14.4214698
2015-01-31,EUR,449726,359016.8333,229069,63.80452913,-55464,-15.44885778,-138680,-38.62771523,24593,6.85009663,-59518,-16.57805275
2015-02-28,EUR,431217,370207.9167,208257,56.25406444,-48807,-13.18367269,-149982,-40.51290998,39757,10.73910044,-49225,-13.29658221
2015-03-31,EUR,459746,386671.8333,198832,51.42138187,-53702,-13.8882627,-160674,-41.55306545,63453,16.41003935,-47909,-12.39009306
2015-04-30,EUR,456919,402122.1667,150166,37.34337782,-55970,-13.91865573,-124234,-30.89459132,72964,18.14473462,-42926,-10.67486539
2015-05-31,EUR,431927,415278.5,120245,28.95526737,-57427,-13.8285512,-103068,-24.819007,76953,18.53045607,-36703,-8.838165231
2015-06-30,EUR,346115,419851.0833,119499,28.46223453,-51792,-12.3358024,-48954,-11.65984844,15968,3.803253257,-34721,-8.269836944
2015-07-31,EUR,357940,419940.6667,110446,26.30038212,-30477,-7.257453831,-66491,-15.83342726,23433,5.58007401,-36911,-8.789575035
2015-08-31,EUR,374977,417629.6667,65450,15.67177938,-15112,-3.618516884,-42460,-10.16690226,17195,4.117284133,-25073,-6.003644377
2015-09-30,EUR,322721,410357.5833,88425,21.54827974,-28103,-6.848417366,-57957,-14.12353575,22041,5.371169169,-24406,-5.947495792
2015-10-31,EUR,380564,405290.5,70605,17.42083765,-9453,-2.33240108,-83046,-20.49048769,50410,12.43799201,-28516,-7.035940887
2015-11-30,EUR,444626,403564.4167,141285,35.00928084,-3810,-0.9440871996,-151882,-37.63513177,54845,13.59014763,-40438,-10.0202095
2015-12-31,EUR,400497,404747.9167,132465,32.72777809,-9013,-2.226818133,-131349,-32.45205092,27769,6.860813572,-19872,-4.909722615
2016-01-31,EUR,402227,400789.6667,98986,24.69774254,-19780,-4.93525698,-88975,-22.19992365,25372,6.330502533,-15603,-3.893064442
2016-02-29,EUR,422624,400073.5833,-683,-0.1707185949,19008,4.751125991,-35900,-8.973349278,24245,6.060135188,-6670,-1.667193306
2016-03-31,EUR,330090,389268.9167,55059,14.14420665,7835,2.0127474,-63117,-16.21424093,3763,0.9666839141,-3540,-0.9093970385
2016-04-30,EUR,340200,379542.3333,16983,4.474599671,20247,5.334582791,-43212,-11.38529123,11041,2.909029911,-5059,-1.332921141
2016-05-31,EUR,356178,373229.9167,43939,11.77263613,20991,5.624147225,-61574,-16.4976057,9704,2.600005939,-13060,-3.499183591
2016-06-30,EUR,337273,372493.0833,75215,20.19232124,19191,5.152041973,-58811,-15.78848108,-20876,-5.604399366,-14719,-3.951482768
2016-07-31,EUR,400035,376001,132076,35.12650232,23686,6.299451331,-111903,-29.76135702,-20724,-5.511687469,-23135,-6.152909168
2016-08-31,EUR,364843,375156.5,89812,23.93987576,26932,7.178870685,-82997,-22.12330054,-14864,-3.962079825,-18883,-5.033366075
2016-09-30,EUR,328490,375637.25,65185,17.35317783,33847,9.010554731,-79660,-21.20662953,-7560,-2.012579956,-11812,-3.144523074
2016-10-31,EUR,448471,381296.1667,145073,38.04732717,27946,7.329210845,-152307,-39.94454005,-6485,-1.700777654,-14227,-3.731220307
2016-11-30,EUR,447190,381509.8333,121389,31.81805275,43299,11.34937981,-156366,-40.98609953,1232,0.3229274562,-9554,-2.504260484
2016-12-31,EUR,405681,381941.8333,71917,18.82930691,38709,10.13478929,-105188,-27.54031918,4110,1.076080084,-9548,-2.49985709
2017-01-31,EUR,405541,382218,17686,4.627202277,54783,14.33291996,-83960,-21.96652172,19056,4.985636469,-7565,-1.97923698
2017-02-28,EUR,431635,382968.9167,29099,7.598266787,43371,11.32493999,-91856,-23.9852364,26746,6.98385661,-7360,-1.921826989
2017-03-31,EUR,408853,389532.5,-1723,-0.4423250948,71111,18.25547291,-59919,-15.38228518,-11460,-2.941988152,1991,0.5111255158
2017-04-30,EUR,411006,395433,16564,4.18882592,71602,18.10723941,-81305,-20.56100528,-13967,-3.532077495,7106,1.797017447
2017-05-31,EUR,453280,403524.8333,-94965,-23.5338676,102937,25.50945853,5646,1.399170394,-34389,-8.522152086,20771,5.147390764
2017-06-30,EUR,400560,408798.75,-65241,-15.95919753,104751,25.62409988,-8147,-1.99291216,-48173,-11.78403799,16810,4.112047799
2017-07-31,EUR,449086,412886.3333,-102967,-24.93834058,107560,26.05075327,352,0.08525348784,-29638,-7.178246798,24693,5.980580612
2017-08-31,EUR,469307,421591.6667,-127856,-30.32697515,106701,25.3090866,30806,7.307070428,-36892,-8.750647348,27241,6.461465478
2017-09-30,EUR,429111,429976.75,-88001,-20.46645545,100382,23.34591347,19733,4.589317911,-52563,-12.22461447,20449,4.755838542
2017-10-31,EUR,440384,429302.8333,-83679,-19.49183502,112233,26.14308392,-57,-0.01327734074,-39532,-9.208418145,11035,2.570446581
2017-11-30,EUR,495561,433333.75,-188788,-43.56641965,141402,32.63119939,6929,1.598998463,8297,1.914690467,32160,7.421531325
2017-12-31,EUR,497744,441005.6667,-177720,-40.29880191,124138,28.14884465,563,0.1276627587,13755,3.119007541,39264,8.903286957
2018-01-31,EUR,603460,457498.9167,-286655,-62.65697897,149952,32.77647106,76853,16.79850972,17405,3.804380593,42445,9.277617597
2018-02-28,EUR,567463,468817.9167,-220394,-47.01057536,131698,28.09150319,33561,7.158642792,16657,3.552978546,38478,8.207450832
2018-03-31,EUR,514049,477584.25,-238324,-49.90198065,160206,33.54507608,27515,5.761287145,18231,3.817336941,32372,6.778280481
2018-04-30,EUR,494154,484513.25,-227107,-46.87322793,179527,37.05306305,8353,1.72399826,13081,2.699822967,26146,5.39634365
2018-05-31,EUR,552251,492760.8333,-152531,-30.95436765,142826,28.98485235,-17890,-3.630564523,9599,1.948003849,17996,3.652075973
2018-06-30,EUR,481383,499496.0833,-105797,-21.18074666,146262,29.28191129,-60058,-12.0237179,11657,2.333752033,7936,1.588801247
2018-07-31,EUR,499721,503715.6667,-121324,-24.08581031,156326,31.03457175,-67092,-13.31941896,8321,1.651924002,23769,4.718733518
2018-08-31,EUR,529124,508700.4167,-77472,-15.22939582,145319,28.56671535,-99730,-19.60485911,11090,2.180065051,20793,4.087474537
2018-09-30,EUR,477881,512764.5833,-105324,-20.54042019,149847,29.22335217,-86694,-16.90717394,9137,1.781909339,33034,6.442332617
2018-10-31,EUR,504458,518104.0833,-45829,-8.84551994,117756,22.72825168,-93146,-17.97824086,3162,0.6103020806,18057,3.485207043
2018-11-30,EUR,538454,521678.5,-52983,-10.15625524,130339,24.98454508,-111601,-21.39267767,4017,0.7700144821,30228,5.794373354
2018-12-31,EUR,505986,522365.3333,-70357,-13.46892596,123372,23.61795321,-83475,-15.98019521,1790,0.3426720507,28670,5.488495919
2019-01-31,EUR,527521,516037.0833,-98320,-19.05289429,150525,29.16941531,-83732,-16.22596567,246,0.04767099264,31281,6.061773661
2019-02-28,EUR,528376,512779.8333,-67366,-13.13741213,122981,23.98319747,-82180,-16.02637129,-2049,-0.3995866972,28614,5.580172647
2019-03-31,EUR,486804,510509.4167,-48559,-9.511871557,120700,23.64305066,-88513,-17.33817186,-3107,-0.6086077746,19479,3.815600528
2019-04-30,EUR,517935,512491.1667,-37453,-7.308028399,125446,24.47769018,-109525,-21.37110005,-1392,-0.2716144376,22924,4.473052706
2019-05-31,EUR,536798,511203.4167,-54137,-10.59010919,131148,25.65475811,-103963,-20.33691415,-1061,-0.2075494735,28013,5.479814705
2019-06-30,EUR,521907,514580.4167,-107645,-20.91898497,163775,31.82690104,-92949,-18.06306594,4133,0.8031786415,32686,6.351971226
2019-07-31,EUR,563024,519855.6667,-77822,-14.96992434,147520,28.37710724,-103264,-19.86397506,10553,2.029986528,23013,4.426805645
2019-08-31,EUR,525065,519517.4167,-82643,-15.90764763,139426,26.8375988,-87895,-16.91858582,8365,1.610148136,22747,4.378486509
2019-09-30,EUR,502612,521578.3333,-58232,-11.16457419,121458,23.28662681,-91289,-17.50245249,6301,1.208063985,21762,4.172335891
2019-10-31,EUR,538847,524444.0833,-106324,-20.27365803,164323,31.332797,-93496,-17.82763939,7976,1.520848505,27521,5.247651918
2019-11-30,EUR,578450,527777.0833,-108793,-20.61343765,165355,31.33046228,-97407,-18.45608744,10800,2.046318482,30045,5.692744333
2019-12-31,EUR,557585,532077,-119149,-22.39318745,198748,37.35324023,-127195,-23.9053746,13201,2.481031881,34395,6.464289943
2020-01-31,EUR,598793,538016.3333,-127633,-23.72288574,171760,31.92468134,-103401,-19.21893325,20563,3.822002926,38711,7.19513472
2020-02-29,EUR,625563,546115.25,-90046,-16.488461,193158,35.36945727,-145533,-26.64877057,12945,2.37037878,29476,5.397395513
2020-03-31,EUR,551752,551527.5833,-264486,-47.95517178,254602,46.16305833,-36009,-6.528957225,19886,3.605622022,26007,4.715448653
2020-04-30,EUR,545082,553789.8333,-258834,-46.73866951,229556,41.45182634,-19505,-3.522094272,20782,3.752687166,28001,5.05625028
2020-05-31,EUR,556749,555452.4167,-248393,-44.71904209,220108,39.62679671,-30822,-5.54899017,28073,5.05407829,31034,5.587157256
2020-06-30,EUR,579738,560271.6667,-307973,-54.9685123,259010,46.22935897,-31407,-5.605673438,32197,5.746676464,48173,8.598150302
2020-07-31,EUR,678965,569933.4167,-421274,-73.91635368,329683,57.84587995,-5850,-1.02643569,37491,6.578136832,59950,10.51877259
2020-08-31,EUR,704077,584851.0833,-468842,-80.16433813,332109,56.78522439,37095,6.342640213,43408,7.422060288,56230,9.614413242
2020-09-30,EUR,655912,597626.0833,-413470,-69.18540063,287162,48.05044626,29126,4.87361593,49662,8.309878264,47520,7.951460173
2020-10-31,EUR,636778,605787,-397226,-65.57189243,293662,48.47611454,4413,0.7284738695,47888,7.905088752,51263,8.462215267
2020-11-30,EUR,644566,611296.6667,-397483,-65.0229294,308626,50.48710664,-1534,-0.2509419867,39979,6.54003239,50412,8.246732356
2020-12-31,EUR,671643,620801.5,-440042,-70.88288285,327821,52.80609019,16610,2.675573432,36915,5.946345168,58696,9.454874062
2021-01-31,EUR,677432,627354.75,-459335,-73.21774482,333487,53.15764326,29536,4.708022056,41028,6.539840497,55284,8.812239008
2021-02-28,EUR,696916,633300.8333,-455088,-71.85968754,344675,54.42516129,18086,2.85583076,36275,5.727925512,56052,8.850769974
2021-03-31,EUR,645121,641081.5833,-381851,-59.56355789,305158,47.6004939,-6780,-1.057587704,35884,5.597415514,47589,7.423236174
2021-04-30,EUR,672072,651664.0833,-419661,-64.3983627,329945,50.631147,-38,-0.005831225162,34888,5.353678512,54866,8.419368414
