date,spot_local_per_usd,futures_local_per_usd,futures_log_basis,futures_pct_basis,ccy,yahoo_symbol,us_rate,foreign_rate,assumed_expiry_date,assumed_tau_years,rate_differential_us_minus_foreign,region_group,futures_implied_basis_next_imm,futures_implied_basis_fixed_3m,futures_implied_basis_next_imm_bps,futures_implied_basis_fixed_3m_bps,basis_maturity_assumption_spread_bps,futures_premium_next_imm_pct_ann,futures_premium_fixed_3m_pct_ann,dks_forward_premium_3m_pct_ann,premium_gap_next_imm_pct_ann,premium_gap_fixed_3m_pct_ann
2010-01-31,1.127014538,1.134429942,0.006558135512,0.657968717,AUD,6A=F,0.0006,0.042025,2010-03-17,0.1232876712,-0.041425,Advanced economies,0.01166532729,0.01691438551,116.6532729,169.1438551,-52.49058219,5.319376583,2.623254205,3.8582029,1.461173683,-1.234948695
2010-01-31,1.8755,1.895016083,0.01035203484,1.040580253,BRL,6L=F,0.0006,0.0863,2010-03-17,0.1232876712,-0.0857,Emerging markets,0.02091778826,0.03177703484,209.1778826,317.7703484,-108.5924658,8.396650484,4.140813936,7.4883738,0.9082766836,-3.347559864
2010-01-31,1.0652,1.069518714,0.004046172186,0.4054368992,CAD,6C=F,0.0006,0.001725,2010-03-17,0.1232876712,-0.001125,Advanced economies,0.004184870816,0.004327422186,41.84870816,43.27422186,-1.425513699,3.281895218,1.618468874,-0.0058526127,3.287747831,1.624321487
2010-01-31,1.0557,1.060557851,0.004590990373,0.4601545115,CHF,6S=F,0.0006,0.000903594,2010-03-17,0.1232876712,-0.000303594,Advanced economies,0.00462841977,0.004666888873,46.2841977,46.66888873,-0.3846910274,3.723803304,1.836396149,-0.22989713,3.953700434,2.066293279
2010-01-31,0.7209805335,0.7212405332,0.0003605545712,0.03606195788,EUR,6E=F,0.0006,0.0067975,2010-03-17,0.1232876712,-0.0061975,Advanced economies,0.001124629914,0.001909929571,11.24629914,19.09929571,-7.852996575,0.2924498189,0.1442218285,0.067314439,0.2251353799,0.07690738948
2010-01-31,0.6246486351,0.6255473422,0.00143770616,0.1438740155,GBP,6B=F,0.0006,0.0061265,2010-03-17,0.1232876712,-0.0055265,Advanced economies,0.002119055475,0.00281933116,21.19055475,28.1933116,-7.002756849,1.166139441,0.575082464,0.23931372,0.9268257212,0.335768744
2010-01-31,90.38,90.26900107,-0.00122889081,-0.1228136033,JPY,6J=F,0.0006,0.0045,2010-03-17,0.1232876712,-0.0039,Advanced economies,-0.0007480688924,-0.0002538908102,-7.480688924,-2.538908102,-4.941780822,-0.9967669906,-0.491556324,-0.19561478,-0.8011522106,-0.295941544
2010-01-31,13.0285,13.08900577,0.004633358137,0.4644108738,MXN,6M=F,0.0006,0.0506,2010-03-17,0.1232876712,-0.05,Emerging markets,0.0107977417,0.01713335814,107.977417,171.3335814,-63.35616438,3.758168268,1.853343255,4.2362304,-0.4780621323,-2.382887145
2010-01-31,1.419244962,1.427144315,0.005550451899,0.5565884196,NZD,6N=F,0.0006,0.0278,2010-03-17,0.1232876712,-0.0272,Advanced economies,0.008903876556,0.0123504519,89.03876556,123.504519,-34.46575342,4.502033208,2.22018076,2.6455536,1.856479608,-0.4253728404
2010-01-31,7.58,7.636502257,0.007426478879,0.7454123565,ZAR,6Z=F,0.0006,0.07108,2010-03-17,0.1232876712,-0.07048,Emerging markets,0.01611579395,0.02504647888,161.1579395,250.4647888,-89.30684932,6.023699537,2.970591552,6.9727488,-0.9490492632,-4.002157248
2010-02-28,1.115946881,1.116445266,0.0004465031106,0.0446602808,AUD,6A=F,0.0011,0.0416,2010-03-17,0.04657534247,-0.0405,Advanced economies,0.002332804481,0.01057150311,23.32804481,105.7150311,-82.3869863,0.9586684433,0.1786012442,3.9290526,-2.970384157,-3.750451356
2010-02-28,1.801,1.806847992,0.003241819979,0.324708036,BRL,6L=F,0.0011,0.0862,2010-03-17,0.04657534247,-0.0851,Emerging markets,0.007205381623,0.02451681998,72.05381623,245.1681998,-173.1143836,6.96037819,1.296727992,6.5989432,0.3614349896,-5.302215208
2010-02-28,1.052,1.051856543,-0.0001363749492,-0.01363656506,CAD,6C=F,0.0011,0.00165,2010-03-17,0.04657534247,-0.00055,Advanced economies,-0.0001107585109,1.125050753e-06,-1.107585109,0.01125050753,-1.118835616,-0.292805038,-0.05454997968,0.045236349,-0.338041387,-0.09978632868
2010-02-28,1.0711,1.074344626,0.003024667532,0.3029246455,CHF,6S=F,0.0011,0.0009874325,2010-03-17,0.04657534247,0.0001125675,Advanced economies,0.003019424662,0.002996525657,30.19424662,29.96525657,0.2289900514,6.494139112,1.209867013,-0.21941991,6.713559022,1.429286923
2010-02-28,0.7320644217,0.7341604847,0.002859130897,0.286322211,EUR,6E=F,0.0011,0.006617,2010-03-17,0.04657534247,-0.005517,Advanced economies,0.003116087061,0.004238380897,31.16087061,42.38380897,-11.22293836,6.138722219,1.143652359,0.091475628,6.047246591,1.052176731
2010-02-28,0.6562110375,0.6559527661,-0.0003936572648,-0.0393579792,GBP,6B=F,0.0011,0.006331,2010-03-17,0.04657534247,-0.005231,Advanced economies,-0.0001500216484,0.0009140927352,-1.500216484,9.140927352,-10.64114384,-0.8452053038,-0.1574629059,0.26572731,-1.110932614,-0.4231902159
2010-02-28,88.84,88.86518963,0.0002834991228,0.02835393124,JPY,6J=F,0.0011,0.0044,2010-03-17,0.04657534247,-0.0033,Advanced economies,0.0004371977529,0.001108499123,4.371977529,11.08499123,-6.713013699,0.608689293,0.1133996491,-0.15719543,0.765884723,0.2705950791
2010-02-28,12.7575,12.8122994,0.004286266601,0.4295465781,MXN,6M=F,0.0011,0.0503,2010-03-17,0.04657534247,-0.0492,Emerging markets,0.006577773451,0.0165862666,65.77773451,165.862666,-100.0849315,9.202866525,1.71450664,4.2954979,4.907368625,-2.58099126
2010-02-28,1.428571429,1.430615163,0.001429591445,0.1430613798,NZD,6N=F,0.0011,0.0273,2010-03-17,0.04657534247,-0.0262,Advanced economies,0.002649865418,0.007979591445,26.49865418,79.79591445,-53.29726027,3.069416926,0.571836578,2.5623288,0.5070881257,-1.990492222
2010-02-28,7.64,7.738740495,0.0128413445,1.292414862,ZAR,6Z=F,0.0011,0.07075833333,2010-03-17,0.04657534247,-0.06965833333,Emerging markets,0.01608570523,0.03025592783,160.8570523,302.5592783,-141.702226,27.57112201,5.1365378,7.0494304,20.52169161,-1.9128926
2010-03-31,1.090631476,1.099263522,0.007883566122,0.7914723252,AUD,6A=F,0.0015,0.043275,2010-06-16,0.2109589041,-0.041775,Advanced economies,0.01669637434,0.01832731612,166.9637434,183.2731612,-16.30941781,3.73701511,3.153426449,3.8612664,-0.1242512901,-0.7078399512
2010-03-31,1.7821,1.77999287,-0.001183085317,-0.1182385748,BRL,6L=F,0.0015,0.0861,2010-06-16,0.2109589041,-0.0846,Emerging markets,0.01666403797,0.01996691468,166.6403797,199.6691468,-33.02876712,-0.5608131698,-0.4732341268,7.4438844,-8.00469757,-7.917118527
2010-03-31,1.0156,1.015125398,-0.0004674215881,-0.04673123637,CAD,6C=F,0.0015,0.00228,2010-06-16,0.2109589041,-0.00078,Advanced economies,-0.0003028736429,-0.0002724215881,-3.028736429,-2.724215881,-0.3045205479,-0.2215699736,-0.1869686352,0.060203187,-0.2817731606,-0.2471718222
2010-03-31,1.0528,1.053407784,0.0005771358483,0.05773024233,CHF,6S=F,0.0015,0.0009577772727,2010-06-16,0.2109589041,0.0005422227273,Advanced economies,0.000462749136,0.0004415801665,4.62749136,4.415801665,0.2116896949,0.2735773826,0.2308543393,-0.24434799,0.5179253726,0.4752023293
2010-03-31,0.7393168712,0.7401924767,0.001183643182,0.1184343964,EUR,6E=F,0.0015,0.006449565217,2010-06-16,0.2109589041,-0.004949565217,Advanced economies,0.002227798036,0.002421034486,22.27798036,24.21034486,-1.932364503,0.5610776123,0.4734572728,0.06000993,0.5010676823,0.4134473428
2010-03-31,0.6585012512,0.6590219999,0.0007904965288,0.07908090535,GBP,6B=F,0.0015,0.0064549,2010-06-16,0.2109589041,-0.0049549,Advanced economies,0.001835776803,0.002029221529,18.35776803,20.29221529,-1.93444726,0.374715887,0.3161986115,0.26199022,0.112725667,0.05420839152
2010-03-31,93.4,93.43174601,0.0003398353189,0.03398930694,JPY,6J=F,0.0015,0.0043,2010-06-16,0.2109589041,-0.0028,Advanced economies,0.0009305202504,0.001039835319,9.305202504,10.39835319,-1.093150685,0.1610907681,0.1359341276,-0.18349802,0.3445887881,0.3194321476
2010-03-31,12.3005,12.35712038,0.004592533919,0.4603095766,MXN,6M=F,0.0015,0.0503,2010-06-16,0.2109589041,-0.0488,Emerging markets,0.01488732844,0.01679253392,148.8732844,167.9253392,-19.05205479,2.176980364,1.837013568,4.0874081,-1.910427736,-2.250394532
2010-03-31,1.408847563,1.415428179,0.004660046862,0.4670921766,NZD,6N=F,0.0015,0.0267,2010-06-16,0.2109589041,-0.0252,Advanced economies,0.009976211245,0.01096004686,99.76211245,109.6004686,-9.838356164,2.208983253,1.864018745,2.4687767,-0.2597934471,-0.6047579552
2010-03-31,7.33,7.30353464,-0.003617087703,-0.3610553921,ZAR,6Z=F,0.0015,0.06952307692,2010-06-16,0.2109589041,-0.06802307692,Emerging markets,0.01073298606,0.01338868153,107.3298606,133.8868153,-26.55695469,-1.714593522,-1.446835081,6.9177246,-8.632318122,-8.364559681
