sample,day_count,expiry_assumption,expiry_adjustment_days,maturity_lower_days,maturity_upper_days,volume_threshold,observations,currencies,first_date,last_date,corr,rmse,mean_gap,median_gap,std_gap,abs_median_gap
advanced,360,third_wednesday,0,60,80,10000,162,7,2010-03-31,2025-06-30,0.8188218523,1.054399901,-0.01323130067,0.05270541403,1.057586087,0.05270541403
advanced,365,third_wednesday,0,60,80,10000,162,7,2010-03-31,2025-06-30,0.8188218523,1.063120703,-0.01239794125,0.06440381951,1.066344691,0.06440381951
advanced,360,third_wednesday,0,60,80,20000,142,7,2010-03-31,2025-06-30,0.7746154379,1.090261054,-0.01517027107,0.06204561606,1.094014476,0.06204561606
advanced,365,third_wednesday,0,60,80,20000,142,7,2010-03-31,2025-06-30,0.7746154379,1.09889881,-0.016252932,0.07179615747,1.102668105,0.07179615747
advanced,360,third_wednesday,0,75,95,10000,306,7,2010-03-31,2025-06-30,0.8272396512,1.133253428,0.4398228596,0.2138232033,1.046133663,0.2138232033
advanced,365,third_wednesday,0,75,95,10000,306,7,2010-03-31,2025-06-30,0.8272396512,1.135293726,0.4414731303,0.2250096464,1.04765461,0.2250096464
advanced,360,last_trade_friday,-5,70,95,10000,306,7,2010-03-31,2025-06-30,0.8272571859,1.147293503,0.4482005015,0.2297844742,1.057854309,0.2297844742
advanced,360,last_trade_friday,-5,70,90,10000,306,7,2010-03-31,2025-06-30,0.8272571859,1.147293503,0.4482005015,0.2297844742,1.057854309,0.2297844742
advanced,360,third_wednesday,0,75,95,5000,320,7,2010-03-31,2025-06-30,0.8276087062,1.149889273,0.4563817086,0.2199148952,1.05709655,0.2199148952
advanced,360,third_wednesday,0,75,95,2500,327,7,2010-03-31,2025-06-30,0.824668763,1.150853046,0.4584207633,0.2315780524,1.057228109,0.2315780524
advanced,365,last_trade_friday,-5,70,95,10000,306,7,2010-03-31,2025-06-30,0.8272571859,1.151692514,0.4499671283,0.2407890757,1.061889934,0.2407890757
advanced,365,last_trade_friday,-5,70,90,10000,306,7,2010-03-31,2025-06-30,0.8272571859,1.151692514,0.4499671283,0.2407890757,1.061889934,0.2407890757
advanced,365,third_wednesday,0,75,95,5000,320,7,2010-03-31,2025-06-30,0.8276087062,1.152484275,0.4588321065,0.2312414599,1.058865828,0.2312414599
advanced,365,third_wednesday,0,75,95,2500,327,7,2010-03-31,2025-06-30,0.824668763,1.153454821,0.4607185052,0.2332466769,1.05906871,0.2332466769
advanced,360,third_wednesday,0,75,95,20000,272,7,2010-03-31,2025-06-30,0.7995946843,1.158854453,0.4520521387,0.2138232033,1.069015415,0.2138232033
advanced,365,third_wednesday,0,75,95,20000,272,7,2010-03-31,2025-06-30,0.7995946843,1.160968647,0.4523441509,0.2189064439,1.071191645,0.2189064439
advanced,360,last_trade_friday,-5,70,95,5000,320,7,2010-03-31,2025-06-30,0.8276508607,1.166653747,0.4686646307,0.2551524862,1.070052613,0.2551524862
advanced,360,last_trade_friday,-5,70,90,5000,320,7,2010-03-31,2025-06-30,0.8276508607,1.166653747,0.4686646307,0.2551524862,1.070052613,0.2551524862
advanced,360,last_trade_friday,-5,70,95,2500,327,7,2010-03-31,2025-06-30,0.8247062939,1.167583641,0.469941884,0.2654017785,1.070472091,0.2654017785
advanced,360,last_trade_friday,-5,70,90,2500,327,7,2010-03-31,2025-06-30,0.8247062939,1.167583641,0.469941884,0.2654017785,1.070472091,0.2654017785
advanced,365,last_trade_friday,-5,70,95,5000,320,7,2010-03-31,2025-06-30,0.8276508607,1.171686959,0.4712856248,0.2510898432,1.074405662,0.2510898432
advanced,365,last_trade_friday,-5,70,90,5000,320,7,2010-03-31,2025-06-30,0.8276508607,1.171686959,0.4712856248,0.2510898432,1.074405662,0.2510898432
advanced,365,last_trade_friday,-5,70,95,2500,327,7,2010-03-31,2025-06-30,0.8247062939,1.17258227,0.4723996414,0.2786376235,1.074858525,0.2786376235
advanced,365,last_trade_friday,-5,70,90,2500,327,7,2010-03-31,2025-06-30,0.8247062939,1.17258227,0.4723996414,0.2786376235,1.074858525,0.2786376235
advanced,360,last_trade_friday,-5,70,95,20000,272,7,2010-03-31,2025-06-30,0.7996092685,1.172704342,0.4537585801,0.2184684097,1.08335291,0.2184684097
advanced,360,last_trade_friday,-5,70,90,20000,272,7,2010-03-31,2025-06-30,0.7996092685,1.172704342,0.4537585801,0.2184684097,1.08335291,0.2184684097
advanced,365,last_trade_friday,-5,70,95,20000,272,7,2010-03-31,2025-06-30,0.7996092685,1.176900006,0.4540742929,0.2230065285,1.087777726,0.2230065285
advanced,365,last_trade_friday,-5,70,90,20000,272,7,2010-03-31,2025-06-30,0.7996092685,1.176900006,0.4540742929,0.2230065285,1.087777726,0.2230065285
advanced,360,third_wednesday,0,75,95,50000,160,6,2010-03-31,2024-06-30,0.7639777014,1.196711545,0.407860268,0.1597692722,1.128596177,0.1597692722
advanced,360,third_wednesday,0,60,80,5000,172,7,2010-03-31,2025-06-30,0.7744032606,1.198653808,-0.01821527108,0.07819735717,1.202014719,0.07819735717
advanced,365,third_wednesday,0,75,95,50000,160,6,2010-03-31,2024-06-30,0.7639777014,1.200106285,0.4146692352,0.1621814748,1.129726196,0.1621814748
advanced,360,last_trade_monday,-2,75,95,10000,242,7,2011-06-30,2025-06-30,0.8235633085,1.207274076,0.5330765313,0.251331487,1.08545324,0.251331487
advanced,360,third_wednesday,0,60,80,2500,180,7,2010-03-31,2025-06-30,0.7658332505,1.207316979,-0.008700989281,0.08963215299,1.210653234,0.08963215299
advanced,365,third_wednesday,0,60,80,5000,172,7,2010-03-31,2025-06-30,0.7744032606,1.207973871,-0.01705671384,0.0883929177,1.21138003,0.0883929177
advanced,365,last_trade_monday,-2,75,95,10000,242,7,2011-06-30,2025-06-30,0.8235633085,1.209349359,0.5336662165,0.2627827678,1.087480149,0.2627827678
advanced,360,last_trade_friday,-5,70,95,50000,160,6,2010-03-31,2024-06-30,0.7639914506,1.216476395,0.4412625844,0.1637244879,1.137182727,0.1637244879
