survey_date,target_year,expected_usd_per_eur,KEY,TITLE_COMPL,spot_usd_per_eur,expected_eur_per_usd,spot_eur_per_usd,expected_log_change_eur_per_usd,horizon_years_approx
2010-06-30,2011,1.327180326,SPF.Q.U2.ASSU.USD.2011.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2011 - Quarterly survey,1.2291,0.7534771126,0.8136034497,-0.07677444192,1
2010-09-30,2011,1.228208523,SPF.Q.U2.ASSU.USD.2011.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2011 - Quarterly survey,1.3601,0.8141939919,0.7352400559,0.1020016044,1
2010-09-30,2012,1.256579487,SPF.Q.U2.ASSU.USD.2012.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2012 - Quarterly survey,1.3601,0.7958111765,0.7352400559,0.07916488967,2
2010-12-31,2011,1.336141243,SPF.Q.U2.ASSU.USD.2011.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2011 - Quarterly survey,1.3269,0.7484238703,0.7536362951,-0.006940395451,1
2010-12-31,2012,1.318179502,SPF.Q.U2.ASSU.USD.2012.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2012 - Quarterly survey,1.3269,0.7586220229,0.7536362951,0.006593775406,2
2011-03-31,2012,1.330338999,SPF.Q.U2.ASSU.USD.2012.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2012 - Quarterly survey,1.4183,0.7516881043,0.7050694493,0.06402517529,1
2011-06-30,2012,1.359014369,SPF.Q.U2.ASSU.USD.2012.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2012 - Quarterly survey,1.4523,0.7358273926,0.6885629691,0.066388798,1
2011-09-30,2012,1.388725,SPF.Q.U2.ASSU.USD.2012.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2012 - Quarterly survey,1.3449,0.72008497,0.7435497063,-0.03206639916,1
2011-09-30,2013,1.365891176,SPF.Q.U2.ASSU.USD.2013.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2013 - Quarterly survey,1.3449,0.7321227468,0.7435497063,-0.01548743129,2
2011-12-31,2012,1.367659403,SPF.Q.U2.ASSU.USD.2012.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2012 - Quarterly survey,1.2973,0.7311761961,0.7708317274,-0.0528156323,1
2011-12-31,2013,1.374896188,SPF.Q.U2.ASSU.USD.2013.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2013 - Quarterly survey,1.2973,0.72732764,0.7708317274,-0.0580930474,2
2012-03-31,2013,1.311223604,SPF.Q.U2.ASSU.USD.2013.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2013 - Quarterly survey,1.3334,0.7626464293,0.7499625019,0.01677132073,1
2012-06-30,2013,1.30897114,SPF.Q.U2.ASSU.USD.2013.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2013 - Quarterly survey,1.2668,0.7639587837,0.7893905905,-0.03274740362,1
2012-09-30,2013,1.24812451,SPF.Q.U2.ASSU.USD.2013.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2013 - Quarterly survey,1.2856,0.8012021176,0.7778469197,0.02958350322,1
2012-09-30,2014,1.268778696,SPF.Q.U2.ASSU.USD.2014.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2014 - Quarterly survey,1.2856,0.7881595139,0.7778469197,0.0131707547,2
2012-12-31,2013,1.285058013,SPF.Q.U2.ASSU.USD.2013.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2013 - Quarterly survey,1.3186,0.7781749849,0.7583801001,0.02576670394,1
2012-12-31,2014,1.287064286,SPF.Q.U2.ASSU.USD.2014.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2014 - Quarterly survey,1.3186,0.7769619677,0.7583801001,0.02420669028,2
2013-03-31,2014,1.290834211,SPF.Q.U2.ASSU.USD.2014.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2014 - Quarterly survey,1.2816,0.7746928241,0.7802746567,-0.007179386864,1
2013-03-31,2015,1.291470588,SPF.Q.U2.ASSU.USD.2015.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2015 - Quarterly survey,1.2816,0.7743110909,0.7802746567,-0.007672262626,2
2013-06-30,2014,1.299626861,SPF.Q.U2.ASSU.USD.2014.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2014 - Quarterly survey,1.301,0.769451625,0.7686395081,0.001056006307,1
2013-06-30,2015,1.310319646,SPF.Q.U2.ASSU.USD.2015.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2015 - Quarterly survey,1.301,0.763172561,0.7686395081,-0.00713791253,2
2013-09-30,2014,1.282862623,SPF.Q.U2.ASSU.USD.2014.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2014 - Quarterly survey,1.3535,0.7795066926,0.7388252678,0.05359982537,1
2013-09-30,2015,1.287219977,SPF.Q.U2.ASSU.USD.2015.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2015 - Quarterly survey,1.3535,0.7768679931,0.7388252678,0.05020899401,2
2013-12-31,2014,1.297577858,SPF.Q.U2.ASSU.USD.2014.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2014 - Quarterly survey,1.3779,0.7706666649,0.7257420713,0.06006126085,1
2013-12-31,2015,1.287868421,SPF.Q.U2.ASSU.USD.2015.Q.AVG,Euro area (changing composition) - Assumptions - US dollar exchange rate in Euro - 2015 - Quarterly survey,1.3779,0.7764768385,0.7257420713,0.06757213612,2
