date,spot_local_per_usd,futures_local_per_usd,futures_log_basis,futures_pct_basis,ccy,yahoo_symbol,us_rate,foreign_rate,assumed_expiry_date,assumed_tau_years,rate_differential_us_minus_foreign,futures_implied_no_arbitrage_gap,futures_implied_no_arbitrage_gap_bps
2010-01-31,1.127014538,1.134429942,0.006558135512,0.657968717,AUD,6A=F,0.0006,0.042025,2010-03-17,0.1232876712,-0.041425,0.01166532729,116.6532729
2010-01-31,1.8755,1.895016083,0.01035203484,1.040580253,BRL,6L=F,0.0006,0.0863,2010-03-17,0.1232876712,-0.0857,0.02091778826,209.1778826
2010-01-31,1.0652,1.069518714,0.004046172186,0.4054368992,CAD,6C=F,0.0006,0.001725,2010-03-17,0.1232876712,-0.001125,0.004184870816,41.84870816
2010-01-31,1.0557,1.060557851,0.004590990373,0.4601545115,CHF,6S=F,0.0006,0.000903594,2010-03-17,0.1232876712,-0.000303594,0.00462841977,46.2841977
2010-01-31,0.7209805335,0.7212405332,0.0003605545712,0.03606195788,EUR,6E=F,0.0006,0.0067975,2010-03-17,0.1232876712,-0.0061975,0.001124629914,11.24629914
2010-01-31,0.6246486351,0.6255473422,0.00143770616,0.1438740155,GBP,6B=F,0.0006,0.0061265,2010-03-17,0.1232876712,-0.0055265,0.002119055475,21.19055475
2010-01-31,90.38,90.26900107,-0.00122889081,-0.1228136033,JPY,6J=F,0.0006,0.0045,2010-03-17,0.1232876712,-0.0039,-0.0007480688924,-7.480688924
2010-01-31,13.0285,13.08900577,0.004633358137,0.4644108738,MXN,6M=F,0.0006,0.0506,2010-03-17,0.1232876712,-0.05,0.0107977417,107.977417
2010-01-31,1.419244962,1.427144315,0.005550451899,0.5565884196,NZD,6N=F,0.0006,0.0278,2010-03-17,0.1232876712,-0.0272,0.008903876556,89.03876556
2010-01-31,7.58,7.636502257,0.007426478879,0.7454123565,ZAR,6Z=F,0.0006,0.07108,2010-03-17,0.1232876712,-0.07048,0.01611579395,161.1579395
2010-02-28,1.115946881,1.116445266,0.0004465031106,0.0446602808,AUD,6A=F,0.0011,0.0416,2010-03-17,0.04657534247,-0.0405,0.002332804481,23.32804481
2010-02-28,1.801,1.806847992,0.003241819979,0.324708036,BRL,6L=F,0.0011,0.0862,2010-03-17,0.04657534247,-0.0851,0.007205381623,72.05381623
