currency,nobs,beta_dfstar,p_dfstar,beta_didiff,p_didiff,r2
EUR,178,0.0003183175295,0.000118296833,-0.0443130142,0.9510796707,0.7720144372
AUD,182,0.0002897736397,1.2822074e-09,0.723946919,0.348964054,0.7482644979
NZD,182,0.0003231587651,5.758886165e-09,0.295636481,0.8168451705,0.7292461634
CAD,182,0.0001574172543,5.945969162e-05,-1.890056448,0.02302534892,0.7138553317
GBP,182,0.0003855220371,2.087784975e-08,0.7734592013,0.2907873887,0.6527251951
MXN,182,0.0003666911614,7.262499583e-05,-0.3795205481,0.701529975,0.637134316
CHF,182,0.0002928126504,2.023204996e-05,1.259637222,0.3123623426,0.6352932769
ZAR,119,6.442331399e-05,0.3885255044,-0.3416437964,0.7076347115,0.5233064433
JPY,181,0.0003960274674,3.198400498e-06,-2.376988385,0.01614156638,0.4895488984
BRL,167,0.0002449633315,0.004812993198,-0.4847412216,0.3119491862,0.4786785975
